raw_city,clean_city,metro_region,state,confidence,review_status,row_count
"Majestic,Bangalore",Bangalore,Bangalore,Karnataka,High,Reviewed rule,154
"Gandhipuram,Coimbatore",Coimbatore,Coimbatore,Unmapped,Medium,Review pending,151
Alwar,Alwar,Alwar,Unmapped,Medium,Review pending,150
"Avadi,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,150
Bokaro,Bokaro,Bokaro,Unmapped,Medium,Review pending,150
"Egmore,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,150
"Sarafa,Indore",Indore,Indore,Madhya Pradesh,High,Reviewed rule,149
"Ramanathapuram,Coimbatore",Coimbatore,Coimbatore,Unmapped,Medium,Review pending,147
Bahadurgarh,Bahadurgarh,Bahadurgarh,Unmapped,Medium,Review pending,146
Ambala,Ambala,Ambala,Unmapped,Medium,Review pending,144
"Mehdipatnam,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,143
"Old Delhi,Delhi",Delhi,Delhi,Delhi,High,Reviewed rule,143
"Peelamedu,Coimbatore",Coimbatore,Coimbatore,Unmapped,Medium,Review pending,142
"Alwal,Hyderabad",Hyderabad,Hyderabad,Telangana,High,Reviewed rule,141
"Padur,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,140
Kollam,Kollam,Kollam,Unmapped,Medium,Review pending,138
Mathura,Mathura,Mathura,Unmapped,Medium,Review pending,138
Rajahmundry,Rajahmundry,Rajahmundry,Unmapped,Medium,Review pending,138
"Bajaj Nagar,Nagpur",Nagpur,Nagpur,Unmapped,Medium,Review pending,137
Amravati,Amravati,Amravati,Unmapped,Medium,Review pending,136
Durgapur,Durgapur,Durgapur,Unmapped,Medium,Review pending,135
"BRS Nagar,Ludhiana",Ludhiana,Ludhiana,Unmapped,Medium,Review pending,134
Bhagalpur,Bhagalpur,Bhagalpur,Unmapped,Medium,Review pending,134
Phagwara,Phagwara,Phagwara,Unmapped,Medium,Review pending,134
"Kilpauk,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,133
Sirsa,Sirsa,Sirsa,Unmapped,Medium,Review pending,132
"Wardha Road,Nagpur",Nagpur,Nagpur,Unmapped,Medium,Review pending,131
Haridwar,Haridwar,Haridwar,Unmapped,Medium,Review pending,130
Sangli,Sangli,Sangli,Unmapped,Medium,Review pending,130
"Coi_Ganapathy,Coimbatore",Coimbatore,Coimbatore,Unmapped,Medium,Review pending,129
Jorhat,Jorhat,Jorhat,Unmapped,Medium,Review pending,128
Jamnagar,Jamnagar,Jamnagar,Unmapped,Medium,Review pending,126
Asansol,Asansol,Asansol,Unmapped,Medium,Review pending,124
"KK Nagar,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,124
Kurukshetra,Kurukshetra,Kurukshetra,Unmapped,Medium,Review pending,121
Muzaffarpur,Muzaffarpur,Muzaffarpur,Unmapped,Medium,Review pending,121
Tirunelveli,Tirunelveli,Tirunelveli,Unmapped,Medium,Review pending,121
"Civil Lines,Ludhiana",Ludhiana,Ludhiana,Unmapped,Medium,Review pending,119
Kurnool,Kurnool,Kurnool,Unmapped,Medium,Review pending,119
Thoothukudi,Thoothukudi,Thoothukudi,Unmapped,Medium,Review pending,118
Saharanpur,Saharanpur,Saharanpur,Unmapped,Medium,Review pending,117
Sonipat,Sonipat,Sonipat,Unmapped,Medium,Review pending,117
Firozpur,Firozpur,Firozpur,Unmapped,Medium,Review pending,116
Sagar,Sagar,Sagar,Unmapped,Medium,Review pending,116
Bhavnagar,Bhavnagar,Bhavnagar,Unmapped,Medium,Review pending,115
"Ramapuram,Chennai",Chennai,Chennai,Tamil Nadu,High,Reviewed rule,115
